data_base,over_15_diff
2012-07-31,0.06773729940624662
2012-08-31,0.049740031651343664
2012-09-30,-0.1736133442170158
2012-10-31,-0.028157649210176938
2012-11-30,-0.027385993041733947
2012-12-31,0.013315055562196143
2013-01-31,0.19263291539684202
2013-02-28,-0.02290763278379382
2013-03-31,0.009642066594077736
2013-04-30,-0.07359039001924161
2013-05-31,-0.04799741954466974
2013-06-30,0.032714844941396315
2013-07-31,0.0010085922273170844
2013-08-31,-0.16203657388572212
2013-09-30,-0.05077431864493409
2013-10-31,0.038354558032752006
2013-11-30,-0.008807055085735538
2013-12-31,-0.11179275197992844
2014-01-31,0.10697184339824428
2014-02-28,0.008265347059255745
2014-03-31,-0.15737453257250467
2014-04-30,-0.005388097513939094
2014-05-31,-0.008878105846412243
2014-06-30,-0.07953049384403466
2014-07-31,0.1128134675932122
2014-08-31,-0.03746549063270743
2014-09-30,0.11378216196690616
2014-10-31,0.004542609966439404
2014-11-30,-0.05300639739210089
2014-12-31,0.07858275880988463
2015-01-31,0.1953358668402294
2015-02-28,0.046427457832115326
2015-03-31,-0.0017224164953950627
2015-04-30,0.12473300408891008
2015-05-31,-0.09288273526445145
2015-06-30,0.019910065245394737
2015-07-31,0.04778157839410957
2015-08-31,0.038147740084832016
2015-09-30,0.11737151378678856
2015-10-31,0.0935558659336655
2015-11-30,0.1890414259045552
2015-12-31,-0.06695357865195728
2016-01-31,0.24912794807419436
2016-02-29,0.1413220481457409
2016-03-31,0.24569867495951447
2016-04-30,-0.02134370316695744
2016-05-31,0.3253984724736645
2016-06-30,-0.1142808604195702
2016-07-31,0.12542906501675244
2016-08-31,0.06725174558483893
2016-09-30,-0.2120033496924929
2016-10-31,-0.006332860907261484
2016-11-30,-0.18721372253445923
2016-12-31,-0.09739347461606984
2017-01-31,0.21582986623963052
2017-02-28,0.039220308713152185
2017-03-31,0.10564911591111148
2017-04-30,-0.23410268462355033
2017-05-31,0.11616886155435635
2017-06-30,-0.5330070324889449
2017-07-31,0.6759511159172713
2017-08-31,-0.0603458161224788
2017-09-30,-0.04351122565043042
2017-10-31,0.06687890756350345
2017-11-30,-0.16997175561498512
2017-12-31,0.14943752928763487
2018-01-31,0.06845200789653205
2018-02-28,-0.039974081545797624
2018-03-31,-0.1890634411349832
2018-04-30,-0.2234149131442602
2018-05-31,0.006982426625218974
2018-06-30,-0.12243227347720298
2018-07-31,0.06026787988343196
2018-08-31,-0.06896607629965112
2018-09-30,-0.25950249950599114
2018-10-31,0.02117576839058133
2018-11-30,0.09733838134636308
2018-12-31,-0.10740929415003109
2019-01-31,-0.20632689800399273
2019-02-28,-0.14560656589928822
2019-03-31,0.05306413654583908
2019-04-30,0.05401433945547174
2019-05-31,-0.022527994120927985
2019-06-30,-0.2215711129746918
2019-07-31,-0.05504962283367165
2019-08-31,-0.0873705015630728
2019-09-30,-0.06919884865162951
2019-10-31,-0.08420778053988309
2019-11-30,-0.04903217282231864
2019-12-31,0.08003950775241675
2020-01-31,-0.23399463922102948
2020-02-29,0.03777413313041267
2020-03-31,0.1409477943293278
2020-04-30,0.14391659402256396
2020-05-31,-0.19435212648463907
2020-06-30,-0.4095157262557034
2020-07-31,-0.09604488058617155
2020-08-31,-0.12639478157908024
2020-09-30,-0.3101502073774647
2020-10-31,-0.04680943801931603
2020-11-30,-0.13461697103148595
2020-12-31,-0.0217858471025818
2021-01-31,0.10051426517912865
2021-02-28,-0.06829461094658407
2021-03-31,0.12891468260574435
2021-04-30,0.01597399809276001
2021-05-31,-0.08878931360547848
2021-06-30,0.045699141767264084
2021-07-31,-0.022034068998580958
2021-08-31,0.029047216423768507
2021-09-30,-0.07197656831770116
2021-10-31,-0.00979964668564226
2021-11-30,0.03751749691019146
2021-12-31,-0.06619101565035201
2022-01-31,0.05042364487852535
2022-02-28,0.020861064518741035
2022-03-31,0.0694974971694653
2022-04-30,0.07394124814448788
2022-05-31,0.035897152764117646
2022-06-30,-0.024500736362917275
2022-07-31,0.08511536066620984
2022-08-31,0.008707542562465642
2022-09-30,0.06643109871031383
2022-10-31,0.09965582070689627
2022-11-30,0.03316223347684488
2022-12-31,-0.046229241031171986
2023-01-31,0.15618789242756215
2023-02-28,0.05096969159755593
2023-03-31,-0.016929812579591808
2023-04-30,0.05148626821824065
2023-05-31,0.1118047495239396
2023-06-30,-0.058317617678997014
2023-07-31,0.023690538420072293
2023-08-31,-0.0742158275833984
2023-09-30,0.05414346538440418
2023-10-31,0.05904848747007785
2023-11-30,-0.017846485512950316
2023-12-31,-0.04278490803563795
2024-01-31,0.070249996026436
2024-02-29,0.0035652268854597935
2024-03-31,0.3221300145418584
2024-04-30,0.21036809914429622
